Date,Open,High,Low,Close
Jun/29/1993,"19,854.93","19,854.93","19,543.42","19,543.42"
Jun/30/1993,"19,537.40","19,616.81","19,433.99","19,590.00"
Jul/01/1993,"19,638.79","19,924.61","19,638.79","19,924.61"
Jul/02/1993,"19,931.99","19,932.19","19,561.06","19,621.46"
Jul/05/1993,"19,651.87","19,676.07","19,545.45","19,623.06"
Jul/06/1993,"19,593.26","19,833.38","19,589.66","19,829.78"
Jul/07/1993,"19,828.88","19,828.88","19,634.26","19,720.67"
Jul/08/1993,"19,723.47","19,784.68","19,675.77","19,688.67"
Jul/09/1993,"19,699.97","19,946.79","19,699.97","19,877.39"
Jul/12/1993,"19,934.99","20,011.70","19,889.89","19,980.00"
Jul/13/1993,"19,983.90","20,243.02","19,967.60","20,180.42"
Jul/14/1993,"20,207.52","20,233.32","20,030.30","20,139.11"
Jul/15/1993,"20,191.62","20,394.64","20,144.21","20,158.02"
Jul/16/1993,"20,164.72","20,352.54","20,106.31","20,331.53"
Jul/19/1993,"20,347.33","20,350.34","20,089.71","20,150.92"
Jul/20/1993,"20,123.11","20,123.11","19,977.40","20,038.00"
Jul/21/1993,"20,037.50","20,117.71","19,972.60","20,080.91"
Jul/22/1993,"20,075.71","20,152.82","20,049.60","20,115.81"
Jul/23/1993,"20,049.80","20,049.80","19,733.77","19,734.57"
Jul/26/1993,"19,770.38","19,836.68","19,707.97","19,822.08"
Jul/27/1993,"19,845.48","19,952.00","19,777.48","19,891.39"
Jul/28/1993,"19,895.49","19,958.00","19,792.68","19,829.58"
Jul/29/1993,"19,842.68","20,473.75","19,842.68","20,456.85"
Jul/30/1993,"20,453.15","20,545.75","20,361.34","20,380.14"
Aug/02/1993,"20,392.74","20,412.64","20,231.32","20,343.53"
Aug/03/1993,"20,382.44","20,599.36","20,357.64","20,357.64"
Aug/04/1993,"20,380.04","20,667.87","20,298.93","20,497.55"
Aug/05/1993,"20,521.95","20,557.46","20,376.24","20,425.64"
Aug/06/1993,"20,379.74","20,379.74","20,244.82","20,357.94"
Aug/09/1993,"20,339.83","20,553.06","20,339.83","20,493.05"
Aug/10/1993,"20,525.05","20,655.27","20,476.35","20,493.75"
Aug/11/1993,"20,500.85","20,756.08","20,489.05","20,732.57"
Aug/12/1993,"20,820.78","20,939.39","20,708.47","20,765.28"
Aug/13/1993,"20,772.38","20,921.89","20,686.77","20,745.17"
Aug/16/1993,"20,692.77","20,904.69","20,548.85","20,901.49"
Aug/17/1993,"20,924.59","21,025.60","20,749.47","20,841.98"
Aug/18/1993,"20,805.98","20,964.20","20,732.67","20,773.18"
Aug/19/1993,"20,797.98","20,903.09","20,603.56","20,687.47"
Aug/20/1993,"20,751.38","20,859.49","20,586.56","20,607.26"
Aug/23/1993,"20,595.26","20,595.26","20,384.44","20,414.14"
Aug/24/1993,"20,380.94","20,469.85","20,344.83","20,431.84"
Aug/25/1993,"20,493.15","20,542.35","20,412.24","20,521.45"
Aug/26/1993,"20,529.85","20,594.56","20,482.95","20,591.76"
Aug/27/1993,"20,596.86","20,863.39","20,579.56","20,791.68"
Aug/30/1993,"20,816.78","20,924.09","20,747.67","20,912.69"
Aug/31/1993,"20,924.59","21,029.70","20,831.08","21,026.60"
Sep/01/1993,"20,964.10","20,968.00","20,837.48","20,953.30"
Sep/02/1993,"20,943.29","21,045.90","20,921.29","20,983.20"
Sep/03/1993,"20,984.50","21,281.03","20,984.50","21,116.21"
Sep/06/1993,"21,163.82","21,249.92","21,055.91","21,060.81"
Sep/07/1993,"21,065.81","21,065.81","20,880.19","20,962.10"
Sep/08/1993,"20,923.69","20,996.50","20,816.78","20,918.19"
Sep/09/1993,"20,905.19","20,943.79","20,756.28","20,825.58"
Sep/10/1993,"20,811.68","20,846.58","20,686.47","20,817.98"
Sep/13/1993,"20,850.09","21,164.12","20,850.09","21,148.11"
Sep/14/1993,"21,136.41","21,171.72","20,924.69","20,947.79"
Sep/16/1993,"20,938.69","20,938.69","20,501.95","20,502.15"
Sep/17/1993,"20,513.15","20,532.65","20,305.33","20,391.04"
Sep/20/1993,"20,395.64","20,407.54","20,211.52","20,266.03"
Sep/21/1993,"20,347.43","20,564.86","20,347.43","20,466.65"
Sep/22/1993,"20,380.74","20,380.74","20,112.11","20,174.62"
Sep/24/1993,"20,225.82","20,324.63","20,225.82","20,307.53"
Sep/27/1993,"20,315.63","20,384.44","20,000.00","20,094.11"
Sep/28/1993,"20,128.91","20,299.23","20,128.91","20,172.72"
Sep/29/1993,"20,156.72","20,156.72","19,927.69","20,077.41"
Sep/30/1993,"20,097.61","20,158.32","20,032.20","20,105.71"
Oct/01/1993,"20,096.61","20,328.13","20,056.31","20,283.13"
Oct/04/1993,"20,262.03","20,283.93","20,151.32","20,264.43"
Oct/05/1993,"20,311.93","20,410.04","20,237.82","20,321.93"
Oct/06/1993,"20,332.73","20,529.55","20,312.93","20,500.25"
Oct/07/1993,"20,489.65","20,494.45","20,262.83","20,265.63"
Oct/08/1993,"20,241.82","20,405.04","20,180.02","20,378.64"
Oct/12/1993,"20,376.34","20,376.34","20,116.71","20,137.31"
Oct/13/1993,"20,135.01","20,167.22","19,997.90","20,038.40"
Oct/14/1993,"20,016.30","20,096.91","19,911.89","20,082.81"
Oct/15/1993,"20,107.11","20,338.83","20,097.01","20,174.42"
Oct/18/1993,"20,208.62","20,265.53","20,071.51","20,072.21"
Oct/19/1993,"20,089.01","20,204.02","20,042.40","20,069.91"
Oct/20/1993,"20,054.21","20,221.72","20,054.21","20,173.42"
Oct/21/1993,"20,201.82","20,219.72","20,108.81","20,179.42"
Oct/22/1993,"20,223.82","20,377.84","20,223.82","20,264.83"
Oct/25/1993,"20,342.43","20,473.85","20,271.83","20,309.33"
Oct/26/1993,"20,300.43","20,344.53","20,019.90","20,023.60"
Oct/27/1993,"20,012.80","20,012.80","19,686.97","19,838.78"
Oct/28/1993,"19,837.38","19,863.09","19,443.54","19,479.45"
Oct/29/1993,"19,556.46","19,744.27","19,500.95","19,702.97"
Nov/01/1993,"19,656.97","19,656.97","19,375.24","19,438.24"
Nov/02/1993,"19,437.04","19,549.15","19,342.03","19,381.24"
Nov/04/1993,"19,373.64","19,433.24","18,949.79","18,949.79"
Nov/05/1993,"18,941.69","18,941.69","18,470.35","18,590.46"
Nov/08/1993,"18,603.56","18,671.67","18,380.84","18,625.16"
Nov/09/1993,"18,637.66","18,661.67","18,048.50","18,125.71"
Nov/10/1993,"18,149.01","18,227.92","17,818.28","18,121.71"
Nov/11/1993,"18,157.42","18,328.63","18,076.41","18,158.52"
Nov/12/1993,"18,135.91","18,592.26","18,104.21","18,493.55"
Nov/15/1993,"18,489.05","18,506.95","17,952.20","18,074.61"
Nov/16/1993,"18,031.20","18,467.25","17,877.69","18,246.12"
Nov/17/1993,"18,232.42","18,344.23","18,030.80","18,108.71"
Nov/18/1993,"18,154.92","18,336.63","18,117.71","18,166.32"
Nov/19/1993,"18,167.52","18,337.73","17,941.19","17,941.19"
Nov/22/1993,"17,905.59","17,905.59","17,254.53","17,384.84"
Nov/24/1993,"17,350.84","17,544.85","16,993.90","17,067.11"
